name,size,percent
psfFlux,7934739826,9.1
psfDiffFlux,7933067171,9.1
psfFluxErr,7933016704,9.1
psfDiffFluxErr,7930944081,9.1
localWcs_CDMatrix_1_1,7910606015,9.1
localWcs_CDMatrix_2_2,7909826773,9.1
localBackground_instFlux,7872230836,9.1
localBackground_instFluxErr,7870747339,9.1
localWcs_CDMatrix_2_1,7864750478,9.0
localWcs_CDMatrix_1_2,7860255279,9.0
forcedSourceOnDiaObjectId,6791659590,7.8
localPhotoCalibErr,289291676,0.3
visit,246279063,0.3
band,93476919,0.1
pixelFlags_interpolated,49210473,0.1
pixelFlags_bad,46193420,0.1
pixelFlags_interpolatedCenter,36970607,0.0
coord_dec,35378612,0.0
coord_ra,35287055,0.0
pixelFlags_edge,35284459,0.0
diaObjectId,35245394,0.0
_healpix_29,32210267,0.0
psfDiffFlux_flag,31965519,0.0
psfFlux_flag,31846050,0.0
detector,26538022,0.0
pixelFlags_saturated,10154568,0.0
pixelFlags_suspect,9469556,0.0
pixelFlags_saturatedCenter,8818560,0.0
pixelFlags_suspectCenter,8010210,0.0
pixelFlags_cr,7574426,0.0
pixelFlags_crCenter,6545323,0.0
invalidPsfFlag,6318999,0.0
localWcs_flag,6318999,0.0
localPhotoCalib_flag,6318999,0.0
patch,1967413,0.0
tract,1849228,0.0
localPhotoCalib,134778,0.0
parentObjectId,134778,0.0
Dir,108798,0.0
Npix,108798,0.0
Norder,93210,0.0
