name,size,percent
coord_dec,48820157,3.3
refFwhm,48755170,3.3
coord_ra,48528185,3.2
r_psfFlux,47343616,3.2
x,46586625,3.1
r_psfFluxErr,46538900,3.1
y,46424675,3.1
shape_xy,45609397,3.0
shape_yy,45609160,3.0
shape_xx,45609136,3.0
g_psfFlux,45248918,3.0
g_psfFluxErr,44386744,3.0
i_psfFlux,44068935,2.9
r_kronFlux,43898097,2.9
r_kronFluxErr,43738906,2.9
i_psfFluxErr,43259547,2.9
g_kronFlux,40670231,2.7
g_kronFluxErr,40477445,2.7
i_kronFlux,39541749,2.6
i_kronFluxErr,39428272,2.6
_healpix_29,39291338,2.6
z_psfFlux,37477639,2.5
z_psfFluxErr,36692633,2.4
objectId,32473138,2.2
z_kronFlux,31084843,2.1
z_kronFluxErr,30946997,2.1
xErr,30888256,2.1
yErr,30887720,2.1
coord_decErr,30876782,2.1
coord_raErr,30876400,2.1
r_kronRad,27152688,1.8
g_kronRad,24931957,1.7
i_kronRad,24345149,1.6
y_psfFlux,21793644,1.5
y_psfFluxErr,21171896,1.4
z_kronRad,18876986,1.3
u_psfFlux,18497603,1.2
u_psfFluxErr,17861849,1.2
y_kronFlux,15893719,1.1
y_kronFluxErr,15771425,1.1
parentObjectId,15476083,1.0
u_kronFlux,14076672,0.9
u_kronFluxErr,14026258,0.9
y_kronRad,9462980,0.6
u_kronRad,8458738,0.6
patch,1780143,0.1
detect_isPrimary,683118,0.0
shape_flag,653038,0.0
detect_isIsolated,611049,0.0
tract,559925,0.0
sky_object,124812,0.0
Dir,4386,0.0
Npix,4386,0.0
Norder,3738,0.0
