name,size,percent
psfFlux,49533864,4.0
scienceFlux,49475442,4.0
ixyPSF,49366194,4.0
scienceFluxErr,49253506,4.0
psfFluxErr,49229866,4.0
apFluxErr,49202130,4.0
ixxPSF,49005904,3.9
iyyPSF,48987535,3.9
apFlux,47985998,3.9
dec,47239411,3.8
ra,46395784,3.7
_healpix_29,38695131,3.1
snr,36431751,2.9
y,35942920,2.9
x,35666594,2.9
ixy,34105398,2.7
iyy,34008646,2.7
ixx,33982715,2.7
coord_dec,32535148,2.6
coord_ra,32263772,2.6
diaSourceId,31265281,2.5
psfChi2,30743727,2.5
reliability,29458238,2.4
diaObjectId,25043249,2.0
trailAngle,17493224,1.4
trailLength,17481415,1.4
trailFlux,17479036,1.4
trailDec,17215913,1.4
trailRa,16942446,1.4
ra_dec_Cov,14584649,1.2
raErr,14567378,1.2
decErr,14565380,1.2
yErr,14564522,1.2
xErr,14563459,1.2
extendedness,14269780,1.1
time_processed,9597071,0.8
dipoleMeanFlux,9281138,0.7
dipoleChi2,9281136,0.7
dipoleAngle,9281136,0.7
dipoleLength,9281136,0.7
dipoleFluxDiffErr,9281136,0.7
dipoleMeanFluxErr,9281136,0.7
bboxSize,8432451,0.7
midpointMjdTai,7552634,0.6
visit,7539935,0.6
detector,2719645,0.2
band,2190157,0.2
dipoleNdata,2057351,0.2
shape_flag,814663,0.1
psfFlux_flag,785060,0.1
forced_PsfFlux_flag,785059,0.1
apFlux_flag,784949,0.1
centroid_flag,784545,0.1
pixelFlags_streak,513191,0.0
pixelFlags_streakCenter,460470,0.0
dipoleFluxDiff,353869,0.0
dipoleFitAttempted,335843,0.0
isDipole,327036,0.0
pixelFlags_edge,120426,0.0
pixelFlags_interpolated,97269,0.0
pixelFlags_saturated,84793,0.0
pixelFlags_suspect,61517,0.0
pixelFlags_bad,55484,0.0
pixelFlags_cr,46632,0.0
pixelFlags_interpolatedCenter,45975,0.0
pixelFlags_saturatedCenter,45767,0.0
forced_PsfFlux_flag_edge,44166,0.0
psfFlux_flag_edge,44166,0.0
apFlux_flag_apertureTruncated,44166,0.0
trail_flag_edge,43139,0.0
pixelFlags_suspectCenter,42162,0.0
pixelFlags_crCenter,41377,0.0
pixelFlags,41368,0.0
pixelFlags_injected_templateCenter,41368,0.0
pixelFlags_injected_template,41368,0.0
pixelFlags_injectedCenter,41368,0.0
pixelFlags_injected,41368,0.0
shape_flag_not_contained,41368,0.0
pixelFlags_offimage,41368,0.0
shape_flag_parent_source,41368,0.0
shape_flag_no_pixels,41368,0.0
forced_PsfFlux_flag_noGoodPixels,41368,0.0
psfFlux_flag_noGoodPixels,41368,0.0
psfNdata,7138,0.0
ssObjectId,1527,0.0
parentDiaSourceId,1527,0.0
Dir,1227,0.0
Npix,1227,0.0
Norder,1047,0.0
