name,size,percent
psfFlux,4843698434,9.2
psfDiffFlux,4841216818,9.2
psfFluxErr,4841142405,9.2
psfDiffFluxErr,4838237594,9.2
localWcs_CDMatrix_2_1,4812947270,9.2
localWcs_CDMatrix_1_2,4811667765,9.2
localWcs_CDMatrix_2_2,4805278188,9.2
localWcs_CDMatrix_1_1,4804069636,9.2
localBackground_instFlux,4751732884,9.1
localBackground_instFluxErr,4747602480,9.0
forcedSourceId,3403853429,6.5
localPhotoCalibErr,262906083,0.5
visit,211088966,0.4
coord_dec,64812767,0.1
band,64632888,0.1
coord_ra,64603599,0.1
objectId,63369873,0.1
_healpix_29,48200870,0.1
pixelFlags_interpolated,33669656,0.1
pixelFlags_bad,32390461,0.1
pixelFlags_edge,22096856,0.0
pixelFlags_interpolatedCenter,16344795,0.0
detector,16051562,0.0
psfDiffFlux_flag,14407421,0.0
psfFlux_flag,14232684,0.0
detect_isPrimary,8105436,0.0
pixelFlags_cr,6627976,0.0
detect_isPatchInner,5731300,0.0
detect_isTractInner,5541791,0.0
pixelFlags_saturated,4677427,0.0
pixelFlags_suspect,4544499,0.0
pixelFlags_saturatedCenter,4025664,0.0
patch,4012231,0.0
pixelFlags_suspectCenter,3873397,0.0
pixelFlags_crCenter,3637707,0.0
localWcs_flag,3510285,0.0
invalidPsfFlag,3510285,0.0
localPhotoCalib_flag,3510285,0.0
tract,2206029,0.0
localPhotoCalib,70104,0.0
parentObjectId,70104,0.0
Dir,56624,0.0
Npix,56624,0.0
Norder,48536,0.0
