name,size,percent
psfFlux,469877845,1.5
psfFluxErr,469876651,1.5
sky,469835257,1.5
skyErr,469835162,1.5
localBackground_instFlux,469830945,1.5
localBackground_instFluxErr,469830848,1.5
ap06Flux,469758108,1.5
ap06FluxErr,469756616,1.5
ap03FluxErr,469662343,1.5
ap03Flux,469661912,1.5
ap09Flux,469404084,1.5
ap09FluxErr,469402823,1.5
localPhotoCalib,468633788,1.5
localWcs_CDMatrix_2_2,468632943,1.5
psfFlux_apCorr,468626925,1.5
localWcs_CDMatrix_2_1,468623017,1.5
localWcs_CDMatrix_1_2,468612644,1.5
localWcs_CDMatrix_1_1,468606631,1.5
ixyPSF,467696859,1.5
ixxPSF,467683971,1.5
iyyPSF,467683863,1.5
ap12Flux,466490587,1.5
ap12FluxErr,466490300,1.5
ap17Flux,463877512,1.5
ap17FluxErr,463877336,1.5
calibFluxErr,462510314,1.5
calibFlux,462510024,1.5
normCompTophatFlux_instFlux,462482106,1.5
ap25Flux,461205822,1.5
ap25FluxErr,461205818,1.5
jacobian_value,459684157,1.5
apFlux_17_0_instFluxErr,457986235,1.5
ap35FluxErr,457751582,1.5
ap35Flux,457751580,1.5
normCompTophatFlux_instFluxErr,457369577,1.5
apFlux_35_0_instFlux,453434887,1.5
apFlux_35_0_instFluxErr,452631915,1.4
apFlux_17_0_instFlux,452376951,1.4
ap50Flux,452361059,1.4
ap50FluxErr,452361033,1.4
apFlux_50_0_instFlux,450289540,1.4
apFlux_50_0_instFluxErr,447692837,1.4
ap70Flux,445123985,1.4
ap70FluxErr,445123943,1.4
gaussianFlux,441529624,1.4
gaussianFluxErr,441529459,1.4
ixy,441253255,1.4
ixx,441251561,1.4
iyy,441251038,1.4
y,436186581,1.4
x,435463249,1.4
ixxDebiasedPSF,428420686,1.4
iyyDebiasedPSF,428420686,1.4
ixyDebiasedPSF,428420679,1.4
decl,422621034,1.4
coord_dec,422621034,1.4
dec,422621034,1.4
coord_ra,419571968,1.3
ra,419571968,1.3
sizeExtendedness,360632315,1.2
apFlux_12_0_instFlux,358852200,1.1
apFlux_12_0_instFluxErr,339556079,1.1
_healpix_29,320864334,1.0
sourceId,296266151,0.9
psfFlux_area,286166118,0.9
ra_dec_Cov,279455160,0.9
yErr,279308824,0.9
xErr,279294496,0.9
raErr,279231948,0.9
decErr,279222386,0.9
variance_value,275333901,0.9
blendedness_abs,187851746,0.6
footprintArea_value,92962369,0.3
parentSourceId,84452335,0.3
localPhotoCalibErr,64988412,0.2
visit,56518817,0.2
detector,23773395,0.1
physical_filter,17795640,0.1
band,17792955,0.1
extendedness,10752918,0.0
deblend_nChild,10324264,0.0
hsmShapeRegauss_flag,6439410,0.0
ap70Flux_flag,5759298,0.0
ap50Flux_flag,5413222,0.0
apFlux_50_0_flag,5413222,0.0
iDebiasedPSF_flag,5251158,0.0
extendedness_flag,5242148,0.0
blendedness_flag_noShape,5241911,0.0
blendedness_flag,5241911,0.0
sizeExtendedness_flag,5241911,0.0
deblend_deblendedAsPsf,5183130,0.0
ap35Flux_flag,5137527,0.0
apFlux_35_0_flag,5137527,0.0
ap25Flux_flag,4938496,0.0
psfFlux_flag,4872334,0.0
apFlux_17_0_flag,4872036,0.0
hsmPsfMoments_flag,4872036,0.0
blendedness_flag_noCentroid,4872036,0.0
centroid_flag,4872036,0.0
ap06Flux_flag,4872036,0.0
ap17Flux_flag,4872036,0.0
apFlux_12_0_flag,4872036,0.0
ap09Flux_flag,4872036,0.0
ap03Flux_flag,4872036,0.0
ap12Flux_flag,4872036,0.0
localBackground_flag,4872036,0.0
detect_isPrimary,4844814,0.0
variance_flag_emptyFootprint,4545057,0.0
variance_flag,4545057,0.0
centroid_flag_resetToPeak,4254672,0.0
deblend_tooManyPeaks,4228033,0.0
gaussianFlux_flag,3427706,0.0
pixelFlags_interpolated,2798404,0.0
centroid_flag_notAtMaximum,2639557,0.0
apFlux_12_0_flag_sincCoeffsTruncated,2602288,0.0
pixelFlags_bad,2601450,0.0
pixelFlags_edge,2026963,0.0
normCompTophatFlux_flag,2007216,0.0
psfFlux_flag_edge,1932266,0.0
iDebiasedPSF_flag_edge,1932266,0.0
sky_source,1747303,0.0
calib_photometry_used,1680350,0.0
calib_psf_candidate,1676852,0.0
calib_psf_used,1399052,0.0
calib_psf_reserved,1217038,0.0
apFlux_12_0_flag_apertureTruncated,1176379,0.0
calib_astrometry_used,1042613,0.0
pixelFlags_interpolatedCenter,970441,0.0
centroid_flag_noSecondDerivative,819831,0.0
pixelFlags_saturated,674459,0.0
pixelFlags_suspect,652125,0.0
deblend_skipped,567987,0.0
deblend_parentTooBig,567987,0.0
pixelFlags_cr,542865,0.0
deblend_rampedTemplate,517660,0.0
pixelFlags_saturatedCenter,474645,0.0
pixelFlags_suspectCenter,435050,0.0
pixelFlags_crCenter,336790,0.0
psfFlux_flag_apCorr,326715,0.0
localBackground_flag_noGoodPixels,325641,0.0
centroid_flag_badError,324543,0.0
hsmShapeRegauss_flag_parent_source,324513,0.0
iDebiasedPSF_flag_galsim,324513,0.0
hsmShapeRegauss_flag_galsim,324513,0.0
iDebiasedPSF_flag_parent_source,324513,0.0
hsmShapeRegauss_flag_no_pixels,324513,0.0
hsmShapeRegauss_flag_not_contained,324513,0.0
iDebiasedPSF_flag_not_contained,324513,0.0
iDebiasedPSF_flag_no_pixels,324513,0.0
localPhotoCalib_flag,324513,0.0
hsmPsfMoments_flag_parent_source,324513,0.0
centroid_flag_almostNoSecondDerivative,324513,0.0
localWcs_flag,324513,0.0
invalidPsfFlag,324513,0.0
jacobian_flag,324513,0.0
localBackground_flag_noPsf,324513,0.0
pixelFlags_offimage,324513,0.0
hsmPsfMoments_flag_not_contained,324513,0.0
psfFlux_flag_noGoodPixels,324513,0.0
centroid_flag_edge,324513,0.0
calib_photometry_reserved,324513,0.0
deblend_hasStrayFlux,324513,0.0
deblend_masked,324513,0.0
deblend_patchedTemplate,324513,0.0
hsmPsfMoments_flag_no_pixels,324513,0.0
psfFlux_apCorrErr,15054,0.0
Dir,12094,0.0
Npix,12094,0.0
Norder,10318,0.0
