,Unnamed: 0,patch,skymap,tract,paths,num_columns,num_rows,num_row_groups,file_size,gbs
0,0,79,lsst_cells_v1,454,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/454/79/forcedSourceOnDiaObjectTable_454_79_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,51797,1,5816887,0.005417398177087307
1,1,20,lsst_cells_v1,10704,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/10704/20/forcedSourceOnDiaObjectTable_10704_20_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,538,1,81567,7.596518844366074e-05
2,2,1,lsst_cells_v1,10704,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/10704/1/forcedSourceOnDiaObjectTable_10704_1_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,80559,1,9008518,0.008389836177229881
3,3,4,lsst_cells_v1,5063,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/5063/4/forcedSourceOnDiaObjectTable_5063_4_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,36877105,7,3345322278,3.1155741568654776
4,4,80,lsst_cells_v1,5305,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/5305/80/forcedSourceOnDiaObjectTable_5305_80_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,8819,1,977753,0.000910603441298008
5,5,97,lsst_cells_v1,2234,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/2234/97/forcedSourceOnDiaObjectTable_2234_97_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,1096,1,140319,0.00013068225234746933
6,6,23,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/453/23/forcedSourceOnDiaObjectTable_453_23_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,35466,1,3979074,0.0037058014422655106
7,7,86,lsst_cells_v1,7611,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/7611/86/forcedSourceOnDiaObjectTable_7611_86_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,452523,1,43870687,0.0408577611669898
8,8,37,lsst_cells_v1,454,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/454/37/forcedSourceOnDiaObjectTable_454_37_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,364,1,64899,6.044190376996994e-05
9,9,29,lsst_cells_v1,5064,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250127T081016Z/forcedSourceOnDiaObjectTable/5064/29/forcedSourceOnDiaObjectTable_5064_29_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250127T081016Z.parq,37,173,1,43671,4.067178815603256e-05
