,Unnamed: 0,patch,skymap,tract,paths,num_columns,num_rows,num_row_groups,file_size,gbs
0,0,11,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/11/objectTable_453_11_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,5223,1,10576515,0.009850147180259228
1,1,12,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/12/objectTable_453_12_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,3754,1,9235597,0.00860131997615099
2,2,13,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/13/objectTable_453_13_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,6857,1,11651091,0.01085092406719923
3,3,14,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/14/objectTable_453_14_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,1987,1,3408640,0.0031745433807373047
4,4,20,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/20/objectTable_453_20_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,3431,1,6575953,0.00612433347851038
5,5,21,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/21/objectTable_453_21_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,3670,1,9676215,0.009011677466332912
6,6,22,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/22/objectTable_453_22_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,4415,1,14449532,0.013457175344228745
7,7,23,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/23/objectTable_453_23_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,7921,1,23276827,0.021678234450519085
8,8,24,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/24/objectTable_453_24_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,10841,1,29632259,0.027597191743552685
9,9,25,lsst_cells_v1,453,/sdf/group/rubin/repo/main/LSSTComCam/runs/DRP/DP1/w_2025_04/DM-48556/20250124T174623Z/objectTable/453/25/objectTable_453_25_lsst_cells_v1_LSSTComCam_runs_DRP_DP1_w_2025_04_DM-48556_20250124T174623Z.parq,1180,2087,1,3551610,0.0033076945692300797
