###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57297.567671  17.011  0.104   569   59 o  0   2.96  94.91624 -24.69652  6700.92  9695.86 4.56 3.66 -72.9 -0.476 18.46 19.59 02a57297o0401o
57298.565131  17.538  0.178   350   62 o  0   3.00  94.91624 -24.69652  6713.69  9697.55 4.60 3.81 -73.0 -0.471 18.44 19.64 02a57298o0554o
57303.530761  17.990  0.135   231   31 o  0   8.73  94.91624 -24.69652  8125.62  8254.77 4.49 3.47 -86.7 -0.467 18.93 20.54 02a57303o0365o
57304.553595  17.548  0.101   347   35 c  0   4.48  94.91624 -24.69652  6709.64  9698.89 4.72 3.58  78.0 -0.431 19.08 21.01 02a57304o0517c
57304.577383  17.574  0.092   339   31 c  0   7.85  94.91624 -24.69652  6703.54  9702.55 4.81 3.58  87.1 -0.428 19.16 21.08 02a57304o0554c
57304.596523  17.812  0.112   272   31 c  0   7.05  94.91624 -24.69652  8131.38  8263.73 4.75 3.40  88.7 -0.433 19.20 21.14 02a57304o0584c
57308.551606  17.723  0.079   296   23 c  0  13.35  94.91624 -24.69652  6711.18  9706.26 4.78 4.08 -79.4 -0.420 19.31 21.34 02a57308o0528c
57308.576014  18.175  0.118   195   23 c  0  12.80  94.91624 -24.69652  6703.96  9712.41 4.59 3.87 -77.4 -0.436 19.42 21.42 02a57308o0565c
57308.592723  18.262  0.106   180   19 c  0  21.30  94.91624 -24.69652  8130.10  8273.41 4.55 3.79 -89.6 -0.448 19.42 21.45 02a57308o0591c
57308.619766  17.695  0.073   303   22 c  0  11.72  94.91624 -24.69652  8120.05  8279.74 4.59 3.74 -89.0 -0.441 19.40 21.38 02a57308o0628c
57317.494631  18.977  0.294    93   27 c  0   9.16  94.91624 -24.69652  6785.62  9715.31 4.91 4.11 -76.5 -0.427 19.12 21.05 02a57317o0417c
57317.511342  18.459  0.177   150   26 c  0  12.28  94.91624 -24.69652  6779.46  9717.06 4.82 3.96 -77.8 -0.439 19.21 21.12 02a57317o0443c
57317.532907  17.670  0.071   310   22 c  0  14.28  94.91624 -24.69652  8207.28  8280.54 4.76 3.78 -86.8 -0.453 19.30 21.27 02a57317o0469c
57317.551779  17.632  0.071   322   23 c  0  13.68  94.91624 -24.69652  8201.86  8283.57 4.72 3.83 -87.8 -0.449 19.32 21.32 02a57317o0494c
57321.536564  17.078  0.116   536   62 o  0   2.84  94.91624 -24.69652  6709.28  9729.11 4.51 3.64 -80.9 -0.497 18.12 19.08 02a57321o0511o
57321.567916  17.474  0.149   372   56 o  0   2.73  94.91624 -24.69652  6705.85  9731.11 4.41 3.48 -80.6 -0.503 18.21 19.16 02a57321o0557o
57321.594001 -18.110  0.294  -207   61 o  0   2.85  94.91624 -24.69652  2522.57  2345.83 5.48 3.96 -24.6 -0.484 18.21 19.15 02a57321o0596o
57321.621314  20.525  2.588    22   58 o  0   3.59  94.91624 -24.69652  2531.43  2347.39 5.49 3.97 -25.3 -0.493 18.25 19.24 02a57321o0637o
57329.563462  17.436  0.100   385   38 o  0   3.49  94.91624 -24.69652  6750.25  9759.53 4.34 3.50 -81.3 -0.502 18.72 20.13 02a57329o0554o
57329.592404 -19.184  0.846   -77   65 o  0   5.01  94.91624 -24.69652  4008.97   924.24 6.19 4.22 -11.3 -0.492 18.32 19.62 02a57329o0596o
57329.622244  19.794  1.308    44   57 o  0   5.36  94.91624 -24.69652  2575.64  2369.81 5.91 4.21 -27.4 -0.469 18.37 19.64 02a57329o0639o
57329.650637 -18.623  0.628  -129   81 o  0   2.76  94.91624 -24.69652  2575.61  2365.44 5.81 4.11 -26.4 -0.480 17.89 18.62 02a57329o0680o
57368.448487  17.241  0.075   461   35 o  0   3.55  94.91624 -24.69652  8758.77   305.95 4.50 3.56  14.8 -0.477 19.18 20.87 02a57368o0421o
57368.449116  16.932  0.043   613   26 o  0   6.31  94.91624 -24.69652  6469.11 10061.22 3.74 3.69 -83.0 -0.444 19.21 20.96 02a57368o0422o
57368.458085  16.864  0.039   652   25 o  0   2.78  94.91624 -24.69652  6188.39  9470.35 3.64 3.40  87.6 -0.452 19.24 20.90 02a57368o0436o
57368.472868  17.112  0.058   519   30 o  0   6.91  94.91624 -24.69652  9347.97   901.91 4.51 3.75  21.5 -0.481 19.10 20.76 02a57368o0458o
