MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3025043043551,16.845,0.170,94.91638,-24.69642,53610.73883,0
3025043043551,16.822,0.166,94.91636,-24.69644,53610.74919,0
3025043043551,16.789,0.162,94.91627,-24.69643,53610.75960,0
3025043043551,16.763,0.160,94.91625,-24.69638,53610.77011,0
3025043043551,17.021,0.156,94.91640,-24.69646,53717.63527,0
3025043043551,16.809,0.142,94.91632,-24.69628,53717.64723,0
3025043043551,16.850,0.145,94.91627,-24.69638,53717.65931,0
3025043043551,16.926,0.149,94.91632,-24.69643,53717.67143,0
3025043043551,16.904,0.143,94.91634,-24.69643,53683.62622,0
3025043043551,17.150,0.158,94.91632,-24.69652,53683.63395,0
3025043043551,17.205,0.162,94.91636,-24.69649,53683.64168,0
3025043043551,17.273,0.167,94.91638,-24.69647,53683.64946,0
3025043043551,16.899,0.152,94.91624,-24.69643,53701.66807,0
3025043043551,16.907,0.153,94.91624,-24.69644,53701.67623,0
3025043043551,17.097,0.167,94.91632,-24.69642,53701.68426,0
3025043043551,17.129,0.169,94.91621,-24.69640,53701.69236,0
3025043043551,17.132,0.122,94.91627,-24.69647,53847.36810,0
3025043043551,17.443,0.138,94.91627,-24.69650,53847.37908,0
3025043043551,17.373,0.135,94.91626,-24.69649,53847.39006,0
3025043043551,17.057,0.119,94.91628,-24.69650,53847.40104,0
3025043043551,17.290,0.179,94.91630,-24.69648,53967.77730,0
3025043043551,17.285,0.177,94.91637,-24.69643,53967.78554,0
3025043043551,17.113,0.164,94.91633,-24.69644,53967.79376,0
3025043043551,16.973,0.153,94.91630,-24.69643,53967.80191,0
3025043043551,16.708,0.117,94.91633,-24.69645,53743.64885,0
3025043043551,17.332,0.152,94.91635,-24.69649,53765.50803,0
3025043043551,17.345,0.154,94.91624,-24.69646,53765.51682,0
3025043043551,17.134,0.139,94.91630,-24.69641,53765.52561,0
3025043043551,16.811,0.113,94.91626,-24.69645,53814.43363,0
3025043043551,16.795,0.111,94.91625,-24.69651,53814.44384,0
3025043043551,16.770,0.110,94.91623,-24.69647,53814.45363,0
3025043043551,16.837,0.113,94.91626,-24.69649,53814.46351,0
3025043043551,17.190,0.128,94.91631,-24.69647,53861.36613,0
3025043043551,16.970,0.118,94.91636,-24.69648,53861.37266,0
3025043043551,16.945,0.116,94.91628,-24.69655,53861.37923,0
3025043043551,16.790,0.111,94.91624,-24.69648,53861.38578,0
3025043043551,16.873,0.131,94.91630,-24.69640,54064.52152,0
3025043043551,17.489,0.239,94.91619,-24.69643,54064.53460,0
3025043043551,17.341,0.160,94.91634,-24.69652,54064.54766,0
3025043043551,17.413,0.159,94.91634,-24.69643,54064.56075,0
3025043043551,17.190,0.167,94.91628,-24.69648,54007.72293,0
3025043043551,17.239,0.171,94.91625,-24.69647,54007.73274,0
3025043043551,17.442,0.187,94.91630,-24.69645,54007.74259,0
3025043043551,17.180,0.165,94.91634,-24.69651,54007.75249,0
3025043043551,16.790,0.151,94.91627,-24.69648,54207.42360,0
3025043043551,16.887,0.158,94.91631,-24.69651,54207.42891,0
3025043043551,16.984,0.165,94.91627,-24.69646,54207.43422,0
3025043043551,16.940,0.163,94.91628,-24.69645,54207.43953,0
3025043043551,17.331,0.158,94.91627,-24.69641,54139.56351,0
3025043043551,17.233,0.151,94.91616,-24.69646,54139.57005,0
3025043043551,17.147,0.145,94.91629,-24.69645,54139.57771,0
3025043043551,16.954,0.135,94.91632,-24.69652,54139.58424,0
3025043043551,16.981,0.136,94.91638,-24.69652,54108.64678,0
3025043043551,16.844,0.127,94.91629,-24.69649,54108.65769,0
3025043043551,16.894,0.131,94.91640,-24.69637,54108.66862,0
3025043043551,16.833,0.128,94.91628,-24.69654,54108.67956,0
3025043043551,16.893,0.153,94.91634,-24.69652,54169.47812,0
3025043043551,16.876,0.152,94.91623,-24.69654,54169.48659,0
3025043043551,16.909,0.154,94.91624,-24.69645,54169.49510,0
3025043043551,16.907,0.154,94.91623,-24.69649,54169.50357,0
3025043043551,16.830,0.146,94.91633,-24.69642,54375.72545,0
3025043043551,17.039,0.159,94.91632,-24.69649,54375.75293,0
3025043043551,17.055,0.160,94.91635,-24.69650,54375.76300,0
3025043043551,17.200,0.171,94.91641,-24.69658,54375.77294,0
